senal,tickers,numero,entran,salen
n_upgrades,"['ZM', 'WELL', 'VEON', 'VTR', 'TALO', 'QSR', 'MPC', 'ERF', 'DKS', 'CPNG', 'CARG', 'BF-B']",12,[],[]
n_earningsbefore,"['YSG', 'YJ', 'XPEV', 'TITN', 'TD', 'SJM', 'SFET', 'SAFM', 'RGS', 'RDHL', 'MOV', 'MOMO', 'MBUU', 'LANC', 'KNOP', 'HMLP', 'HEPS', 'HAIN', 'GOGL', 'GAMB', 'FRO', 'FLWS', 'DLTR', 'DG', 'COTY', 'CM', 'CD', 'BURL', 'BBW', 'ANF']",30,[],[]
n_earningsafter,"['WDAY', 'VMW', 'RCEL', 'PTON', 'PRPO', 'OLLI', 'MRVL', 'LTRX', 'HPQ', 'GPS', 'FXLV', 'DOMO', 'DELL', 'BVXV', 'BILL', 'AFYA']",16,[],[]
it_latestbuys,"['SPRO', 'EVC', 'APLE', 'APPH', 'CFBK', 'RRGB', 'ATLO', 'CSU', 'JKHY', 'AFBI', 'CTEK', 'AIRT', 'PRTH', 'LIVX', 'LUMO', 'HSON', 'DXC', 'KRON', 'ONTF', 'BOXL', 'OSCR', 'ALKS', 'FNKO', 'HOFV', 'SCPS', 'YCBD', 'LFMD', 'RFL', 'REGI', 'CTG', 'NRIM', 'LOV', 'REPX', 'AIRI', 'FPAY', 'VRAY', 'DUOT', 'TRIN', 'WMPN', 'ATGE', 'KOPN', 'CYCC', 'EOLS', 'FMC', 'DNUT', 'SELF', 'BKYI', 'CIM', 'CZWI', 'AAT', 'JACK', 'JMP', 'ARCH', 'ONCS', 'CIO', 'ARRY', 'OGE', 'LUMN', 'NHF', 'FEYE', 'CERE', 'SIEN', 'RMCF', 'HGBL', 'BHG', 'BMEA', 'RAPT', 'PHICU', 'WLMS', 'NMTR', 'LCNB', 'VYNT', 'TURN', 'ASRV', 'TPL', 'OPOF', 'RCG', 'NSYS', 'PETV', 'MINM', 'PALT', 'ATCX', 'SCOBU', 'SCOA', 'UIHC', 'EPD', 'CORR', 'NSPR', 'MYOV', 'FSK', 'WTBA', 'VYNE', 'AM', 'FST', 'AMSF', 'RPHM', 'CRCT', 'NLTX', 'NAUT', 'FAT', 'FAT']",101,['FAT'],['BCOV']
it_latestsales,"['EL', 'EQBK', 'ORI', 'AGYS', 'GPRO', 'VZIO', 'NUAN', 'CARG', 'PCTY', 'OUT', 'DD', 'DDD', 'CRY', 'AGNC', 'AUPH', 'CARV', 'WK', 'AMT', 'TCDA', 'RVLV', 'AMD', 'STRT', 'FITB', 'HASI', 'MORN', 'TWST', 'CVCO', 'CERT', 'PUBM', 'ZI', 'PEGA', 'CPRX', 'STAG', 'CIO', 'VMC', 'AMRC', 'KIDS', 'LPRO', 'CSX', 'AVID', 'BLKB', 'EXP', 'ZTS', 'BX', 'RDFN', 'CYRX', 'AGFY', 'PHR', 'NVDA', 'EXPO', 'YEXT', 'HCAT', 'TYL', 'BLI', 'ADBE', 'AZEK', 'ARW', 'PGEN', 'LSCC', 'KOSS', 'MPWR', 'CRM', 'CRCT', 'AAPL', 'CLH', 'ACVA', 'TMBR', 'HGBL', 'SLAMU', 'QLYS', 'DBX', 'GSHD', 'PI', 'CGEM', 'ZLAB', 'COUR', 'APP', 'MDT', 'MODN', 'TPH', 'ZIP', 'APTS', 'RUN', 'BCAB', 'SEMR', 'ONTF', 'AYX', 'SENS', 'COHU', 'MCW', 'PATH', 'PATK', 'VIR', 'FB', 'FAT', 'SOFI', 'ABNB', 'KLXE', 'APO', 'OTRK', 'OTRK']",101,"['SENS', 'MCW', 'FAT', 'COHU', 'VIR', 'SOFI', 'ONTF', 'PATH', 'KLXE', 'FB', 'PATK', 'RUN', 'AYX', 'OTRK', 'ABNB', 'APO', 'SEMR']","['VIAV', 'DRI', 'ANDE', 'AMAL', 'VICR', 'ORLY', 'CME', 'MDC', 'SCHW', 'FOXF', 'WLFC', 'STFC', 'CGNX', 'HOPE', 'FFIV', 'LWAY', 'FFWM']"
n_majornews,"['DASH', 'ANVS', 'VMW', 'BABA', 'BILL', 'COIN', 'RKT', 'GNLN', 'JD', 'MSFT', 'DIDI', 'ZY', 'VIEW', 'AHCO', 'TSLA', 'KKR', 'UBER', 'SESN', 'LIVE', 'HPQ', 'ATVI', 'JNJ', 'GPS', 'PFE', 'DELL', 'CRM', 'WDAY', 'MRVL', 'AAPL', 'GOOGL', 'GOOG', 'COMP', 'PTON']",33,"['KKR', 'LIVE', 'DASH', 'HPQ', 'BILL', 'TSLA', 'BABA', 'GNLN', 'AHCO', 'UBER', 'JD', 'VMW', 'DIDI']","['MRNA', 'AMZN', 'ARDX', 'ANF', 'REKR', 'DKNG', 'PHG', 'ZM', 'QFIN', 'SNOW', 'DG', 'PYPL', 'ATIP', 'COTY', 'SLQT', 'DLTR', 'DAL', 'WSM', 'SAVA', 'RIDE']"
ta_p_horizontal,"['GMRE', 'LGO', 'RKDA', 'JOE', 'GUNR', 'FFTI', 'ECNS', 'EEMD', 'TSIBU', 'SPE', 'SDD', 'NMTR', 'SYBX', 'WDC', 'VFMF', 'RLGT', 'TNXP', 'EVGO', 'CYTO', 'GLO', 'WTRG', 'VZIO', 'CHSCM', 'IGNYU', 'BSV', 'PUCKU', 'DDMX', 'AGZD', 'MPRO', 'URTY', 'FCNCA', 'GBX', 'TZA', 'FRDM', 'ZUMZ', 'XENE', 'SXC', 'CMPR', 'HCDI', 'FTGC', 'GENY', 'HNW', 'BLOK', 'JHEM', 'TNA', 'PRNT', 'VTWG', 'WY', 'ZCMD', 'EVR', 'SEAC', 'LNN', 'FDM', 'RMT', 'VIRI', 'GSSC', 'NXE', 'CALX', 'PNFP', 'UIS', 'WOOD', 'AVGO', 'RETL', 'PSCT', 'PII', 'TDAC', 'EMGF', 'ORN', 'NSTB', 'IEME', 'DGRE', 'OUT', 'VTWO', 'VXF', 'JBT', 'IBHA', 'OMFS', 'SMOG', 'CLPT', 'IWM', 'SIL', 'AEHL', 'JLS', 'PSJ', 'UNF', 'FYC', 'MRC', 'FST', 'ACNB', 'IJT', 'SLYG', 'DWAS', 'VIOG', 'SHC']",94,[],[]
ta_p_tlresistance,"['NETL', 'CHGX', 'UCYB', 'IIN', 'AIRR', 'GSEW', 'STT', 'QUS', 'SPUS', 'GNMA', 'TTEK', 'BIP', 'CALX', 'CSM', 'IHDG', 'LCG', 'BRKR', 'SJB', 'GVIP', 'KLDW', 'INMD', 'TDSC', 'ROMO', 'RETL', 'GLO', 'MXIM', 'MGC', 'QCRH', 'CHY', 'ADME', 'LNN', 'SDS', 'DALI', 'PUCKU', 'SPDN', 'PEZ', 'WIW', 'QUAL', 'BYFC', 'VRS', 'VFMO', 'FND', 'TDSD', 'FV', 'PIN', 'FVC', 'SDG', 'FCOM', 'CORN', 'FOF', 'OUT', 'EAD', 'USMC', 'RCS', 'NTSX', 'RIV', 'UAPR', 'MMTM', 'PJUN', 'SMOG', 'UPRO', 'AVGO', 'PFL', 'OMF', 'IOO', 'TWM', 'PSCT', 'TZA', 'FFA', 'SSUS', 'JQUA', 'CYAD', 'SFY', 'SPGM', 'EOI', 'BJUN', 'VOX', 'SH', 'BMAY', 'ORCL', 'SRTY', 'SPXL', 'HLNE', 'XLG', 'BIBL', 'IQDG', 'TRND', 'IJT', 'NFJ', 'NJUL', 'PHT', 'SPHQ', 'VIOG', 'XLSR', 'SLYG']",95,['NETL'],['FLQH']
ta_p_tlsupport,"['RAMP', 'SPGM', 'HHC', 'RWO', 'IMUX', 'FIW', 'VXF', 'DIVO', 'VIAV', 'MEI', 'JHMC', 'REET', 'EEMV', 'VV', 'ROMO', 'ASUR', 'GSEW', 'SCHX', 'AWP', 'SUSA', 'DDMX', 'IBHA', 'EML', 'SDG', 'SCHK', 'AOA', 'TCX', 'ITOT', 'OEF', 'EMQQ', 'EPS', 'PSJ', 'CII', 'TWNK', 'SSO', 'DFAU', 'HDG', 'SFY', 'AZZ', 'SCHB', 'RFDA', 'EEMA', 'FLAX', 'XMLV', 'DALI', 'BCV', 'VSAT', 'TRND', 'FV', 'KJAN', 'IVV', 'GSLC', 'FEX', 'ACWI', 'VRRM', 'CYRX', 'VIOG', 'SIMS', 'DSI', 'UNF', 'EVGO', 'PTRA', 'INKM', 'NCR', 'JUST', 'SPYX', 'ETHO', 'WPS', 'ESGV', 'AWAY', 'ESG', 'SHOO', 'PTLC', 'TRGP', 'ESGU', 'SIOX', 'IBP', 'NBTX', 'VT', 'SHE', 'VO', 'GURU', 'CIXX', 'UPRO', 'ROKT', 'SPXL', 'VOO', 'IOO', 'URTH', 'AEHL', 'FVAL', 'FFA', 'PSMB', 'IFGL', 'VTI', 'DWAS', 'DIT', 'CATH', 'TROW']",99,['RAMP'],['STC']
ta_p_wedgeup,"['TDSB', 'BMY', 'ONTO', 'TY', 'IDE', 'EQL', 'XRT', 'JHG', 'RFDI', 'SPFF', 'THRY', 'PSMC', 'TDSE', 'LGH', 'IEHS', 'XTAP', 'AEL', 'PUTW', 'FTGC', 'CMCSA', 'MMTM', 'IYC', 'PMAR', 'FMAR', 'HUBS', 'MDP', 'FTLS', 'QARP', 'NEV', 'BAPR', 'EWRE', 'PSCU', 'BTU', 'BIP', 'WOMN', 'UAPR', 'FSZ', 'AXNX', 'SPTM', 'BMAR', 'TSI', 'SPUU', 'AOM', 'DIVO', 'LFEQ', 'FRC', 'IYY', 'FIVG', 'RFFC', 'AESR', 'IRWD', 'IWB', 'NXPI', 'VFMO', 'MYRG', 'SVXY', 'LCTU', 'CHI', 'TTAC', 'DJUN', 'GPRE', 'PFF', 'GVIP', 'PHDG', 'NTSX', 'BKLC', 'TECH', 'KLDW', 'NETL', 'FQAL', 'SSO', 'ADME', 'IHDG', 'BIBL', 'FLQH', 'BBUS', 'SCHB', 'TRNS', 'USMC', 'PBUS', 'DMRL', 'VV', 'PLBC', 'TDSD', 'ETHO', 'CHGX', 'USXF', 'JHMC', 'GURU', 'URTH', 'HYI', 'SUSA', 'GSLC', 'ESGU', 'ESGV', 'SPGM', 'DALI', 'SFY', 'NFJ', 'XLSR', 'XLSR']",101,['TDSB'],['VFL']
